st,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,539443658.6919647,511271279.2750383,548412055.0541799,668510036.46379745,591136748.3124477,573954189.7782573,698891653.5757353,835635274.8048594,1048248269.3639838,876175658.7094047,970307666.7675726,1183146990.4317687,622251692.0444628,853952445.5481739,1173882526.566841,971511776.4733043
AL,99618308.51006675,95725665.41080953,98201962.50783305,93298241.4868255,89910453.09695578,87398589.10384385,78543752.90058431,76246380.68846636,71292890.17723659,70078486.33667614,75298602.68087806,74838998.79225945,75730993.0229287,67070486.44106174,62030158.087795794,63876003.797455944
AR,35266511.58999311,41244563.51126069,43018046.57325824,40771988.85661084,34843082.4517104,35403532.834474005,30245672.56194342,31717706.022464342,30112607.272816256,37139729.20735154,31518469.843682155,37279604.24931334,29446202.16704926,27890605.34337082,28848913.034909908,29951128.037515868
AS,8465.76,3735.48,1705.22,5.06,4.8,5.66,5.57,4.66,4.61,65940.46,61348.39,99262.39,58478.2,62031.2,56221.2,27631.3
AZ,47488943.95158628,55525123.12260545,62986280.78537966,96198576.65140727,87410088.08585083,94006347.19721584,60343483.0393909,78801950.02019097,97024856.09248698,84380295.70647463,69051127.76535395,76930122.40839092,84053028.87563609,104007818.35777494,99265766.2864528,169348343.54861993
CA,50560101.56542591,39253529.52667275,36822001.6946461,36184892.28267868,47168547.42463021,38876974.259520754,32963458.607865907,31215501.044718213,31922967.758419026,26579210.869960286,29881370.75075525,25246133.35649491,26248160.65822755,28753543.145324577,19659510.218092326,23873825.20988036
CO,18250871.03520389,19050883.45813435,19111076.78859942,18495784.92048821,19125870.899394147,18221038.033558298,17133965.89716791,18749923.706858158,21781161.53910957,23628002.94878669,22480411.7830187,23939086.481684778,21790596.37591475,24719374.307653386,26962360.240321703,22917054.511452388
CT,3853422.629666499,3438235.202432509,3314765.918730101,3459054.9608972194,3071875.037025341,2488163.325081136,2260799.6221911185,1679879.6214720064,1224760.0030652327,1117491.7882931859,1366695.3814973368,1123863.3953360824,797297.0184396912,839024.5064032705,760157.3687551275,791826.0582888499
DC,13482.045216,9935.505029,38047.266925782045,19848.2986755,37617.5165768,68579.5696314,21410.226019,21900.694805898645,29112.035135597733,26760.7138292,7766.0852504,20294.4648202,21601.833374,27100.460403,22374.285503,31320.88245
DE,9455448.036305003,10194193.52177713,8370191.72944219,11059912.151213968,10627952.672173653,9511381.67644835,5310915.326375248,4330538.368770747,3927012.6938676997,5205917.268345751,4050362.0322251027,3773881.613990317,4618679.810963843,3380098.8778165597,4586103.469529786,6169792.359524576
FL,123567673.62146814,119199387.71336062,126853668.04833046,116349019.94117755,113609147.15333523,74617781.67361785,80815188.7720719,76509378.17303474,70767264.93182819,60432891.44457015,63247648.77219947,59942653.404351525,56202962.381973565,58038360.8323436,55463247.8331886,57678237.63231303
GA,129506972.70084004,119340927.89252712,129464276.61852853,129839973.03573462,118453574.39195438,105979371.42548102,79674624.03857994,78281090.64553393,71000649.37197807,64938942.19241567,68232433.49130724,65753046.09581948,57027763.921676934,50574729.753885455,45469156.28542854,46158268.39245064
GU,236254.59002796325,741897.7705328321,233355.97374273968,200947.4249547859,240969.0754996275,266453.4427011155,487015.1917910796,510746.74612611765,515212.99162072263,576107.576817212,517152.330367179,491524.9640396261,467032.6247499806,455788.1030315024,435977.6403824292,448676.7958487935
HI,2747962.547102227,2889493.347681161,2925433.294209372,2790816.495213891,2859554.2812754,3000373.3008647324,2887096.0268072407,2647652.1918095998,2657376.048154663,2761766.2596556637,2652135.219628784,2764411.4963721693,2662722.24719823,2836187.64864264,2834985.6807250525,2720734.580476628
IA,30054983.51894205,37013747.42430493,33003443.301573936,34251235.64965212,34051402.96337356,34335800.460640505,30183616.81070767,33081377.958532017,31511419.660027284,33078404.3125891,32930822.697675586,28754246.106162522,31035918.88428227,23842325.64549472,27605948.93074092,30088007.5825275
ID,61884630.313348584,63285211.00299361,63574076.19471038,65080966.79319074,73693889.08534983,68271813.16281483,55184001.73091508,54722518.305290565,53648319.901325315,37906013.279731184,48077905.13641368,49694026.83206342,47046865.65877115,45144801.48019609,35406395.68398575,33192853.329802796
IL,101292467.56727983,101877154.04899691,100588546.14847064,88182557.6228129,94318756.85026103,81306720.23186865,53002359.16544814,59435600.40350318,57083256.11734702,69491841.3343988,78400431.51504984,73231893.30854736,75816925.66556548,65484032.81106212,64586171.97742813,69679034.61479455
IN,134238735.56865162,128913898.65233018,134985230.85153797,137154362.86830944,126531174.220676,112312517.21645667,91812976.76941133,115358826.781183,103794652.22154118,95346100.33141479,103376159.20303613,105902123.51783969,87868261.88498375,84360363.0896623,79129320.84170453,87684146.91658594
KS,22346717.803843286,22457414.92966279,24111647.23289482,23865856.256876845,20417650.393681847,20591055.143702697,18306270.975666087,20583892.33925784,21880757.832226,19199745.2748955,19831292.44296227,19274823.30502533,17155225.39814252,16093342.332409233,16895763.72006437,17598093.164776146
KY,83952341.12207995,89129249.82238388,93520971.76856087,91912860.22648895,88936791.82475236,83403585.56032157,73264641.01770107,84686215.52612203,73192560.466378,67250013.55222557,64174618.63065529,62953418.973307714,54745578.481013335,43770093.381814025,39776588.068422295,37582341.02044665
LA,121348416.34931123,125234343.54355127,121451379.26306917,124470571.05672763,124142207.49899733,131602774.4060487,112990629.72208247,127732834.3588649,122395879.55613023,133896149.61012074,126932515.97284074,130831636.39522971,131991135.41670884,130130347.62894234,132897656.69475694,137044951.99480137
MA,6983365.278103021,5944781.730591047,5475566.880765651,4812684.381875945,4518614.232657543,3855138.4397639595,3289522.4412212702,2681734.277735945,1894565.4960258345,1615808.3103034394,1316296.1348263014,1411575.6364400052,1435596.0023987289,1298686.9990679787,1284712.858920887,832259.6192685
MD,40768578.07608054,40491683.90190976,40168710.86937278,36698751.647840634,46274840.830778554,46037515.72779517,33107510.178789742,9155453.360415671,8871763.525803769,6893742.9787004525,6640226.769224772,6582197.795627471,6242495.115372416,4575609.671666589,3754289.9708945462,4598648.550951418
ME,10567875.25746391,9666425.40575943,9875720.779085023,9280857.046178814,9441260.38762182,9054223.80844443,7616191.462686625,8518386.519233279,8501577.25299098,8786907.56088557,9179546.391557347,7712219.643369352,6907163.429167701,6106092.610280131,9831316.394559361,9349698.883893102
MI,65708826.904956,63200323.10982049,70420000.70511028,69051208.36842713,68438552.58027971,68049626.07830265,54223738.3769921,46847175.64143332,50594120.40484112,40013609.31540886,40296026.20889228,37058709.12497129,46606558.529233456,43585223.55992001,47942704.00014444,40415313.04684798
MN,26260274.347349424,24063108.07337084,24872357.224701323,24989905.09012148,25655635.932986557,22764246.60773323,19784594.341431543,20731882.514862675,19873840.40273872,22746687.491462514,22907780.426821887,25556978.73737291,22067732.484693635,20072294.880282253,18599903.887836613,21138199.790998474
MO,94873882.26080285,108815322.65789832,109349053.73643336,105501133.18999119,97724657.72944628,85312100.93007946,72533207.96671574,72713090.9113065,71628424.99950534,66951788.65441264,68964239.95372853,65517877.42861435,70929648.98992468,62791061.05206999,51763255.38934104,55435457.908193074
MP,6027.02,4181.81,4320.013,5768.641,5192.829,5569.63117,5780.17976,16722.35245,4935.31143,79468.79711,15370.38705,15552.99329,5544.82236,15867.91321,19158.11891,17297.2382
MS,65561812.30406292,67004065.21001054,58248387.372896984,58946842.82085892,58394366.07858576,52688923.17738689,48359533.76626008,55855889.855132215,52586575.24908926,52957030.50105123,63434305.3642545,65757641.01579073,62030613.726031385,54712861.2821918,61866742.505561136,55602360.02181226
MT,44614753.18606531,60114143.65465917,57779616.3465778,42176635.45285444,47412235.53173043,46160929.13866525,39804408.59162495,36925336.04950397,32786535.399864066,32993350.122147042,33986520.35936429,36625366.61398517,37336886.439627245,36979880.56693072,39004816.51636888,50669456.79883335
